,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,predicted
0,11110101,Cheongun-dong,청운동,17.456719124670588
1,11110102,Singyo-dong,신교동,16.428787118476137
2,11110103,Gungjeong-dong,궁정동,15.029155235474176
3,11110109,Nusang-dong,누상동,22.567162522095536
4,11110111,Ogin-dong,옥인동,26.73050446096842
5,11110113,Pirun-dong,필운동,15.44114219698037
6,11110115,Sajik-dong,사직동,18.513521610422494
7,11110119,Sejongno,세종로,16.251190476981535
8,11110121,Sinmunno 2(i)-ga,신문로2가,16.26805582273976
9,11110130,Waryong-dong,와룡동,16.425007503523716
10,11110131,Gwonnong-dong,권농동,16.656270584132113
11,11110139,Palpan-dong,팔판동,18.804450816452597
12,11110140,Samcheong-dong,삼청동,21.88672979155252
13,11110143,Hwa-dong,화동,16.45140458776683
14,11110146,Gahoe-dong,가회동,16.599347084982604
15,11110148,Gye-dong,계동,27.82737579020142
16,11110149,Wonseo-dong,원서동,23.334783800040675
17,11110150,Hunjeong-dong,훈정동,16.66334102756081
18,11110173,Myeongnyun 3(sam)-ga,명륜3가,23.764217071850062
19,11110178,Songwol-dong,송월동,16.253007567644726
20,11110179,Hongpa-dong,홍파동,16.264012152006224
21,11110182,Gugi-dong,구기동,57.51601792451416
22,11110183,Pyeongchang-dong,평창동,59.04293866541334
23,11110184,Buam-dong,부암동,57.34979302925459
24,11110185,Hongji-dong,홍지동,17.631366820796778
25,11110186,Sinyeong-dong,신영동,17.488462225161932
26,11110187,Muak-dong,무악동,17.53908447520536
27,11140142,Yejang-dong,예장동,17.402550479261297
28,11140144,Jangchung-dong 2(i)-ga,장충동2가,20.026275874145664
29,11140162,Sindang-dong,신당동,16.56425260409308
30,11170101,Huam-dong,후암동,15.557899476146703
31,11170102,yongsan-dong  2(i)-ga,용산동2가,17.829975998728507
32,11170111,Cheongpa-dong 3(sam)-ga,청파동3가,17.008585148746775
33,11170119,Hyochang-dong,효창동,43.737985470592996
34,11170130,Itaewon-dong,이태원동,29.527079991737587
35,11170131,Hannam-dong,한남동,20.850769868615853
36,11200108,Eungbong-dong,응봉동,17.53324948470579
37,11200109,Geumho-dong1(il)-ga,금호동1가,17.094474969164235
38,11200113,Oksu-dong,옥수동,17.14057569994911
39,11215101,Junggok-dong,중곡동,28.064988737872305
40,11215102,Neung-dong,능동,15.076899689117635
41,11215103,Guui-dong,구의동,23.771183965410504
42,11215104,Gwangjang-dong,광장동,33.98547502705485
43,11215105,Jayang-dong,자양동,16.743396007163316
44,11215107,Hwayang-dong,화양동,16.015794918868547
45,11230103,Jegi-dong,제기동,16.441306483800403
46,11230104,Jeonnong-dong,전농동,17.529490772523165
47,11230105,Dapsipni-dong,답십리동,15.568223257161437
48,11230106,Jangan-dong,장안동,15.391324314893309
49,11230107,Cheongnyangni-dong,청량리동,16.68648234418903
50,11230108,Hoegi-dong,회기동,16.144540391970743
51,11230109,Hwigyeong-dong,휘경동,15.840046179026995
52,11230110,Imun-dong,이문동,17.655086237368952
53,11260101,Myeonmok-dong,면목동,70.33301131930422
54,11260102,Sangbong-dong,상봉동,22.792463431514413
55,11260103,Junghwa-dong,중화동,16.97479273453492
56,11260104,Muk-dong,묵동,15.4624251378762
57,11260105,Mangu-dong,망우동,22.466852507139993
58,11260106,Sinnae-dong,신내동,18.2505473175505
59,11290101,Seongbuk-dong,성북동,18.825633615305787
60,11290103,Donam-dong,돈암동,16.794800614514948
61,11290125,Anam-dong 5(o)-ga,안암동5가,25.03044114131588
62,11290133,Jeongneung-dong,정릉동,65.49529185033654
63,11290135,Jongam-dong,종암동,37.905325929811795
64,11290136,Hawolgok-dong,하월곡동,15.249540915575178
65,11290137,Sangwolgok-dong,상월곡동,15.871961239711185
66,11290138,Jangwi-dong,장위동,16.894455262535217
67,11290139,Seokgwan-dong,석관동,21.51261141161112
68,11305101,Mia-dong,미아동,20.610029107591483
69,11305102,Beon-dong,번동,17.343241534169255
70,11305103,Suyu-dong,수유동,27.241289320942645
71,11305104,Ui-dong,우이동,79.67513912144231
72,11320105,Ssangmun-dong,쌍문동,16.54278197611298
73,11320106,Banghak-dong,방학동,20.02664767106252
74,11320107,Chang-dong,창동,17.189226137783425
75,11320108,Dobong-dong,도봉동,79.68819110823917
76,11350102,Wolgye-dong,월계동,16.27002567736529
77,11350103,Gongneung-dong,공릉동,19.131130911062066
78,11350104,Hagye-dong,하계동,18.239460112970832
79,11350105,Sanggye-dong,상계동,74.54465716099156
80,11350106,Junggye-dong,중계동,81.4193138448075
81,11380101,Susaek-dong,수색동,17.57872741889513
82,11380102,Nokbeon-dong,녹번동,17.45642682391951
83,11380103,Bulgwang-dong,불광동,56.51208559563244
84,11380104,Galhyeon-dong,갈현동,30.327898735483505
85,11380105,Gusan-dong,구산동,17.988557388290673
86,11380107,Eungam-dong,응암동,16.647798601302874
87,11380108,Yeokchon-dong,역촌동,16.30194288078232
88,11380109,Sinsa-dong,신사동,18.57483662001156
89,11380110,Jeungsan-dong,증산동,20.354015070366238
90,11380114,Jingwan-dong,진관동,44.54108265968514
91,11410102,Chungjeongno 3(sam)-ga,충정로3가,16.58024339395737
92,11410105,Naengcheon-dong,냉천동,17.212110887329217
93,11410106,Cheonyeon-dong,천연동,18.9906260804013
94,11410107,Okcheon-dong,옥천동,17.144559692231244
95,11410108,Yeongcheon-dong,영천동,16.78751022722299
96,11410109,Hyeonjeo-dong,현저동,19.04351428583665
97,11410110,Bugahyeon-dong,북아현동,18.710236500326744
98,11410111,Hongje-dong,홍제동,23.097331234840944
99,11410112,Daehyeon-dong,대현동,16.240446688623553
100,11410113,Daesin-dong,대신동,17.138587210181388
101,11410114,Sinchon-dong,신촌동,16.79984267036804
102,11410115,Bongwon-dong,봉원동,17.40362251884802
103,11410117,Yeonhui-dong,연희동,18.232120422451835
104,11410118,Hongeun-dong,홍은동,25.585226696253887
105,11440108,Daeheung-dong,대흥동,16.895154099586644
106,11440109,Yeomni-dong,염리동,16.38077638534361
107,11440111,Sinsu-dong,신수동,15.598187156037158
108,11440112,Hyeonseok-dong,현석동,15.396421455663257
109,11440114,Changjeon-dong,창전동,18.12087283663114
110,11440116,Hajung-dong,하중동,16.137176490871656
111,11440120,Seogyo-dong,서교동,15.46560290272141
112,11440124,Yeonnam-dong,연남동,16.16272349168079
113,11440125,Seongsan-dong,성산동,18.695409232611272
114,11440127,Sangam-dong,상암동,17.407129149223923
115,11470101,Sinjeong-dong,신정동,42.60030067735908
116,11470102,Mok-dong,목동,17.724777840393237
117,11470103,Sinwol-dong,신월동,23.33102147827689
118,11500101,Yeomchang-dong,염창동,16.934260808336198
119,11500102,Deungchon-dong,등촌동,17.946744832246402
120,11500103,Hwagok-dong,화곡동,18.386705578073215
121,11500104,Gayang-dong,가양동,17.576388138430808
122,11500106,Naebalsan-dong,내발산동,16.576700884367977
123,11500107,Oebalsan-dong,외발산동,16.5473096305777
124,11500108,Gonghang-dong,공항동,16.521283433247792
125,11500109,Banghwa-dong,방화동,19.586363254592836
126,11500110,Gaehwa-dong,개화동,39.29727530486599
127,11530102,Guro-dong,구로동,15.400484878434442
128,11530106,Gocheok-dong,고척동,20.935018999754075
129,11530107,Gaebong-dong,개봉동,43.45484596195697
130,11530108,Oryu-dong,오류동,20.01975592136198
131,11530109,Gung-dong,궁동,20.474999518104354
132,11530110,Onsu-dong,온수동,16.138911734629342
133,11530111,Cheonwang-dong,천왕동,23.354900084024184
134,11530112,Hang-dong,항동,18.637113958772026
135,11545102,Doksan-dong,독산동,16.34774400808025
136,11545103,Siheung-dong,시흥동,38.77177771993849
137,11560131,Yanghwa-dong,양화동,16.631235110090202
138,11590102,Sangdo-dong,상도동,16.507828367723587
