소속, 주소,위도(도_분_초),경도(도_분_초)
중앙119구조본부(영남권),대구광역시 달성군 구지면 수리리 구지서로1,35.39.37,128.23.11
중앙119구조본부(수도권),경기도 남양주시 덕송3로45,37.40.20,127.6.29
중앙119구조본부(호남권),전라남도 화순군 이양면 학포로 327,34.52.20,126.59.42
중앙119구조본부(충강권),충청북도 충주시 주덕읍 화곡1길 510,37.00.45,127.48.37
서울특별시,서울특별시 강서구 하늘길84,37.33.11,126.47.31
부산광역시,부산광역시 해운대구 해운대로913,35.10.39,129.11.8
인천광역시,인천광역시 중구 영종해안북로 1204번길195,37.31.7,126.29.53
울산광역시,울산광역시 울주군 삼동면 산현출강길73,35.29.36,129.10.15
대전광역시,대전광역시 대덕구한밭대로 1003번길158,36.21.44,127.24.14
경기도,경기도 용인시 처인구 남사면 천덕산로 11번길42-2,37.7.28,127.7.12
강원도특별자치도,강원도 횡성군 우천면 경강로3829,37.29.47,128.8.48
강원도특별자치도,강원도 양양군 손양면 학포길281,38.4.6,128.39.4
충청남도,충청남도 태안군 남면 곰섬로 236-49,36.35.37,126.17.43
전라북도,전라북도 장수군 계남면 장무로 100-27,35.53.8,127.35.15
전라남도,전남 영암군 덕진면 소방항공대길99,34.49.45,126.42.11
경상북도,경상북도 포항시 북구 기계면 내단길86번길 19-59,36.4.6,129.13.50
경상남도,경상남도 합천군 용주면 고품부흥1길10-36,35.33.18,128.6.60
제주특별자치도,제주특별자치도 제주시 신대로9길22,33.30.16,126.29.5
