소속, 주소,위도,경도
중앙119구조본부(영남권),대구광역시 달성군 구지면 수리리 구지서로1,35.66027777777778,128.3863888888889
중앙119구조본부(수도권),경기도 남양주시 덕송3로45,37.67222222222222,127.10805555555555
중앙119구조본부(호남권),전라남도 화순군 이양면 학포로 327,34.87222222222222,126.995
중앙119구조본부(충강권),충청북도 충주시 주덕읍 화곡1길 510,37.0125,127.81027777777777
서울특별시,서울특별시 강서구 하늘길84,37.55305555555555,126.79194444444444
부산광역시,부산광역시 해운대구 해운대로913,35.177499999999995,129.18555555555557
인천광역시,인천광역시 중구 영종해안북로 1204번길195,37.51861111111111,126.49805555555555
울산광역시,울산광역시 울주군 삼동면 산현출강길73,35.49333333333333,129.17083333333332
대전광역시,대전광역시 대덕구한밭대로 1003번길158,36.36222222222222,127.4038888888889
경기도,경기도 용인시 처인구 남사면 천덕산로 11번길42-2,37.12444444444444,127.11999999999999
강원도특별자치도,강원도 횡성군 우천면 경강로3829,37.49638888888889,128.14666666666665
강원도특별자치도,강원도 양양군 손양면 학포길281,38.068333333333335,128.6511111111111
충청남도,충청남도 태안군 남면 곰섬로 236-49,36.593611111111116,126.29527777777777
전라북도,전라북도 장수군 계남면 장무로 100-27,35.885555555555555,127.58749999999999
전라남도,전남 영암군 덕진면 소방항공대길99,34.82916666666667,126.70305555555557
경상북도,경상북도 포항시 북구 기계면 내단길86번길 19-59,36.068333333333335,129.23055555555555
경상남도,경상남도 합천군 용주면 고품부흥1길10-36,35.555,128.11666666666667
제주특별자치도,제주특별자치도 제주시 신대로9길22,33.504444444444445,126.48472222222222
충청북도,충청북도 청주시 청원구 내수읍(공군 17전투비행단 내),36.712500000000006,127.49055555555556
