
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))

12,2007-11-30,,안면도(감),충청남도 태안군 승언리,,36.5333,126.3167,60,,,,
96,2020-10-23,,독도,경상북도 울릉군 독도리,울릉도기상대(115),37.2395,131.8698,99.08,,,,
96,2009-10-27,2020-10-23,독도,경상북도 울릉군 독도리,울릉도기상대(115),37.2395,131.8698,96.15,,,,
116,2023-10-21,,관악(레),경기도 과천시 중앙동,,37.4453,126.964,624.82,,,,
116,2010-08-06,2023-10-21,관악(레),경기도 과천시 중앙동,,37.4453,126.964,624.82,,,,
116,1993-11-10,2010-08-06,관악(레),경기도 과천시 중앙동,,37.4433,126.967,634,,,,
144,1993-03-16,2011-12-09,군산(레),전라북도 군산시 성덕리,군산기상대(140),36.0123,126.7834,198.61,,,,
160,2020-10-23,,부산(레),부산광역시 서구 서대신동3가,부산지방기상청(159),35.1188,129.000,512,,,,
160,1993-03-04,2020-10-23,부산(레),부산광역시 서구 서대신동3가,부산지방기상청(159),35.1188,129.000,518.46,,,,
175,2024-10-15,,진도(레),전라남도 진도군 사천리,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2020-04-29,2024-10-15,진도(레),전라남도 진도군 사천리,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2019-08-01,2020-04-29,진도(레),전라남도 진도군 사천리,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2015-12-16,2019-08-01,진도(첨찰산),전라남도 진도군 사천리,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2015-07-13,2015-12-16,진도(첨찰산),전라남도 진도군 사천리,목포기상대(165),34.4721,126.3238,476.47,,,10.000,
175,2001-10-31,2015-07-13,진도(첨찰산),전라남도 진도군 사천리,진도기상대(175),34.4721,126.3238,476.47,,,10.000,
229,2024-10-15,,북격렬비도,충청남도 태안군 가의도리,대전지방기상청(133),36.6254,125.5595,104.81,,,,
229,2020-10-23,2024-10-15,북격렬비도,충청남도 태안군 가의도리,대전지방기상청(133),36.6254,125.5595,104.81,,,,
229,2017-09-08,2020-10-23,북격렬비도,충청남도 태안군 가의도리,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-03-16,2017-09-08,격렬,충청남도 태안군 가의도리,대전지방기상청(133),36.6254,125.5595,103.56,,,,
230,2021-11-06,,덕적북리,인천광역시 옹진군 북리,인천기상대(112),37.2645,126.103,12,,,,
269,2024-04-30,,안마도,전라남도 영광군 월촌리,광주지방기상청(156),35.3469,126.0305,28,,,,
269,2024-03-22,2024-04-30,안마도,전라남도 영광군 월촌리,광주지방기상청(156),35.3469,126.0305,28,,,,
296,2023-01-11,2025-04-25,북부산,부산광역시 강서구 대저1동,부산지방기상청(159),35.2178,128.9602,3,,,,
296,2020-11-12,2023-01-11,북부산,부산광역시 강서구 대저1동,부산지방기상청(159),35.2178,128.9602,3,,,,
300,2020-10-23,,말도,,전주기상대(146),35.858,126.3151,44.18,,,,
300,2020-02-28,2020-10-23,말도,전라북도 군산시 말도리,전주기상대(146),35.8584,126.3153,48.45,,,,
300,2015-07-13,2020-02-28,말도,전라북도 군산시 말도리,전주기상대(146),35.8584,126.3153,48.45,,,,
300,2007-10-10,2015-07-13,말도,전라북도 군산시 말도리,군산기상대(140),35.8584,126.3153,48.45,,,,
300,2001-02-20,2007-10-10,말도,전라북도 군산시 말도리,군산기상대(140),35.850,126.3167,49,,,,
301,2023-10-25,,임자도,전라남도 신안군 진리,목포기상대(165),35.0951,126.1164,9,,,,
301,2022-10-21,2023-10-25,임자도,전라남도 신안군 진리,목포기상대(165),35.0951,126.1164,9,,,,
301,2020-10-23,2022-10-21,임자도,전라남도 신안군 진리,목포기상대(165),35.087,126.1199,6.33,,,,
301,2011-11-23,2020-10-23,임자도,전라남도 신안군 진리,목포기상대(165),35.0859,126.118,6,,,,
301,2003-08-05,2011-11-23,임자도,전라남도 신안군 진리,목포기상대(165),35.0841,126.1112,15.35,,,,
301,2001-01-05,2003-08-05,안마도,전라남도 영광군 월촌리,광주지방기상청(156),35.3333,126.0167,5,,,,
302,2023-11-23,,장산도,전라남도 신안군 팽진리,목포기상대(165),34.6427,126.1826,6,,,,
302,2023-11-01,2023-11-23,장산도,전라남도 신안군 오음리,목포기상대(165),34.6647,126.1593,17.03,,,,
302,2020-10-23,2023-11-01,장산도,전라남도 신안군 오음리,목포기상대(165),34.6647,126.1593,17.03,,,,
302,2011-12-09,2020-10-23,장산도,전라남도 신안군 오음리,목포기상대(165),34.6647,126.1592,19,,,,
302,2001-01-05,2011-12-09,장산도,전라남도 신안군 도창리,목포기상대(165),34.6432,126.1491,18.91,,,,
303,2021-08-03,,가거도,전라남도 신안군 가거도리,흑산도기상대(169),34.0728,125.0974,105.88,,,,
303,2019-12-05,2021-08-03,가거도,전라남도 신안군 가거도리,흑산도기상대(169),34.0725,125.0972,97.84,,,,
303,2017-08-25,2019-12-05,가거도,전라남도 신안군 가거도리,흑산도기상대(169),34.0725,125.0972,97.84,,,,
303,2017-02-27,2017-08-25,가거도,전라남도 신안군 가거도리,흑산도기상대(169),34.0728,125.0975,107.9,,,,
303,2010-11-23,2017-02-27,가거도,전라남도 신안군 가거도리,흑산도기상대(169),34.0522,125.1264,22,,,,
303,2001-03-12,2010-11-23,가거도,전라남도 신안군 가거도리,흑산도기상대(169),34.0667,125.1167,60,,,,
304,2023-11-01,,신지도,전라남도 완도군 월양리,목포기상대(165),34.318,126.8485,25.41,,,,
304,2020-10-23,2023-11-01,신지도,전라남도 완도군 월양리,목포기상대(165),34.318,126.8485,25.41,,,,
304,2015-07-13,2020-10-23,신지도,전라남도 완도군 월양리,목포기상대(165),34.318,126.8485,21,,,,
304,2011-11-17,2015-07-13,신지도,전라남도 완도군 월양리,완도기상대(170),34.318,126.8485,21,,,,
304,2006-04-20,2011-11-17,신지도,전라남도 완도군 대곡리,완도기상대(170),34.3347,126.8273,21.41,,,,
304,2002-09-11,2006-04-20,소안도,전라남도 완도군 비자리,완도기상대(170),34.1678,126.655,25,,,,
304,2001-02-20,2002-09-11,당사도,전라남도 전라남도 전라남도,완도기상대(170),34.0833,126.600,100,,,,
305,2024-10-15,,여서도,전라남도 완도군 여서리,목포기상대(165),33.9862,126.9201,34.96,,,,
305,2015-07-13,2024-10-15,여서도,전라남도 완도군 여서리,목포기상대(165),33.9862,126.9201,35.38,,,,
305,2007-10-19,2015-07-13,여서도,전라남도 완도군 여서리,완도기상대(170),33.9862,126.9201,35.38,,,,
305,2001-02-20,2007-10-19,여서도,전라남도 완도군 여서리,완도기상대(170),33.900,126.9167,32,,,,
306,2019-11-21,,소리도,전라남도 여수시 연도리,여수기상대(168),34.4319,127.8011,3.04,,,,
306,2014-10-24,2019-11-21,소리도,전라남도 여수시 연도리,여수기상대(168),34.4319,127.8011,3.04,,,,
306,2001-01-05,2014-10-24,소리도,전라남도 여수시 연도리,여수기상대(168),34.9525,127.8008,5,,,,
307,2001-01-05,2014-12-10,평도,전라남도 여수시 손죽리,여수기상대(168),34.2437,127.4496,38.49,,,,
308,2024-09-13,,옥도,전라남도 신안군 옥도리,목포기상대(165),34.687,126.073,8.23,,,,
308,2023-11-01,2024-09-13,옥도,전라남도 신안군 옥도리,목포기상대(165),34.687,126.073,8.23,,,,
308,2020-10-23,2023-11-01,옥도,전라남도 신안군 옥도리,목포기상대(165),34.687,126.073,8.23,,,,
308,2014-12-24,2020-10-23,옥도,전라남도 신안군 옥도리,목포기상대(165),34.687,126.0731,5.6,,,,
309,2020-09-17,,판문점,경기도 파주시 조산리,,37.9464,126.6866,25,,,0.500,
310,2023-11-01,,궁촌,강원특별자치도 삼척시 근덕면 궁촌리,강릉(구 105),37.3247,129.2647,14.07,,,,
310,2015-07-13,2023-11-01,궁촌,강원특별자치도 삼척시 근덕면 궁촌리,강릉(구 105),37.3247,129.2647,14.07,,,,
310,2011-12-29,2015-07-13,궁촌,강원도 삼척시 궁촌리,동해기상대(106),37.3246,129.265,14,,,,
310,2005-06-29,2011-12-29,묵호,강원도 동해시 묵호진동,동해기상대(106),37.5546,129.1185,70.66,,,,
311,2023-10-29,,가야산,경상남도 합천군 치인리,울산기상대(152),35.7892,128.0867,605.47,,,,
311,2015-07-13,2023-10-29,가야산,경상남도 합천군 치인리,울산기상대(152),35.7892,128.0867,605.47,,,,
311,2001-09-25,2015-07-13,가야산,경상남도 합천군 치인리,거창기상대(284),35.7892,128.0867,595.71,,,,
312,2022-10-25,,주왕산,경상북도 청송군 부남면,대구(구 143),36.3931,129.1413,262.19,,,,
312,2020-12-04,2022-10-25,주왕산,경상북도 청송군 상의리,대구(구 143),36.3931,129.1413,262.19,,,,
312,2011-12-01,2020-12-04,주왕산,경상북도 청송군 상의리,안동기상대(136),36.3931,129.1413,262.19,,,,
312,2001-10-11,2011-12-01,주왕산,경상북도 청송군 상의리,안동기상대(136),36.3908,129.1418,260.96,,,,
313,2023-10-28,,양지암,경상남도 거제시 능포동,부산지방기상청(159),34.8821,128.7413,70,,,,
